"lucide_import","kind","scope","file"
"Inbox","runtime","docs","apps/docs/src/pages/structure/app-sidebar/demo.tsx"
"InboxIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"InboxIcon","runtime","docs","apps/docs/src/pages/empty/index.tsx"
"Info","runtime","components","packages/ui/src/components/alert.tsx"
"Info","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"Info","runtime","components","packages/ui/src/components/message.tsx"
"Info","runtime","components","packages/ui/src/components/toast.tsx"
"Italic","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"Layers","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"LifeBuoy","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"LifeBuoyIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"ListFilterPlus","runtime","components","packages/ui/src/components/filters.tsx"
"ListTodo","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Loader2","runtime","components","packages/ui/src/components/toast.tsx"
"LoaderIcon","runtime","components","packages/ui/src/components/button.tsx"
"LockOpen","runtime","components","packages/ui/src/components/chat-head.tsx"
"LucideIcon","type","components","packages/ui/src/components/activity-feed.tsx"
"LucideIcon","type","components","packages/ui/src/components/filters.tsx"
"LucideIcon","type","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"LucideIcon","type","components","packages/ui/src/components/reply-box/reply-box-context.tsx"
"LucideIcon","type","components","packages/ui/src/components/reply-box/reply-box.tsx"
"LucideProps","type","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Mail","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"MailCheck","runtime","components","packages/ui/src/components/activity-feed.tsx"
"MailPlus","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Maximize2","runtime","components","packages/ui/src/components/reply-box/reply-box-header.tsx"
"MessageCircleDashedIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx"
"MessageCircleDashedIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/animation-demo.tsx"
"MessageCircleDashedIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx"
"MessageSquare","runtime","components","packages/ui/src/components/reply-box/reply-box-button-tray.tsx"
"MessageSquareCheck","runtime","components","packages/ui/src/components/activity-feed.tsx"
"MessageSquareText","runtime","components","packages/ui/src/components/activity-feed.tsx"
"MessageSquareText","runtime","components","packages/ui/src/components/app-header.tsx"
"Minimize2","runtime","components","packages/ui/src/components/reply-box/reply-box-header.tsx"
"Minus","runtime","docs","apps/docs/src/pages/button-group/index.tsx"
"Minus","runtime","components","packages/ui/src/components/checkbox.tsx"
"Minus","runtime","components","packages/ui/src/components/number-field.tsx"
"MinusIcon","runtime","components","packages/ui/src/components/input-otp.tsx"
"MonitorCog","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Moon","runtime","docs","apps/docs/src/components/layout/app-shell.tsx"
"MoreHorizontal","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"MoreHorizontal","runtime","docs","apps/docs/src/pages/sortable-list/index.tsx"
"MoreHorizontal","runtime","components","packages/ui/src/components/app-sidebar.tsx"
"MoreHorizontal","runtime","components","packages/ui/src/components/data-table/data-table-row-actions.tsx"
"MoreHorizontal","runtime","components","packages/ui/src/components/metric-card.tsx"
"MoreHorizontal","runtime","components","packages/ui/src/components/sidebar.tsx"
"MoreHorizontalIcon","runtime","components","packages/ui/src/components/breadcrumb.tsx"
"MoreHorizontalIcon","runtime","components","packages/ui/src/components/pagination.tsx"
"MoreHorizontalIcon","runtime","components","packages/ui/src/components/tabs.tsx"
"OctagonX","runtime","components","packages/ui/src/components/toast.tsx"
"Package","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"PanelLeftClose","runtime","components","packages/ui/src/components/sidebar.tsx"
"PanelLeftOpen","runtime","components","packages/ui/src/components/sidebar.tsx"
"Paperclip","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"PencilIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"PencilIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"PenSquare","runtime","components","packages/ui/src/components/inline-edit.tsx"
"PhoneForwarded","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Plus","runtime","docs","apps/docs/src/pages/button-group/index.tsx"
"Plus","runtime","components","packages/ui/src/components/number-field.tsx"
"RefreshCw","runtime","docs","apps/docs/src/pages/button/index.tsx"
"RefreshCw","runtime","components","packages/ui/src/components/attachment.tsx"
"Reply","runtime","docs","apps/docs/src/pages/message/index.tsx"
"Reply","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"ReplyIcon","runtime","docs","apps/docs/src/pages/bubble/index.tsx"
"RotateCcw","runtime","docs","apps/docs/src/pages/marker/index.tsx"
"RotateCwIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/anchoring-demo.tsx"
"RotateCwIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/animation-demo.tsx"
"RotateCwIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/context-demo.tsx"
"RotateCwIcon","runtime","docs","apps/docs/src/pages/message-scroller/demos/streaming-demo.tsx"
"Search","runtime","docs","apps/docs/src/pages/button-group/index.tsx"
"Search","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"Search","runtime","docs","apps/docs/src/pages/input/index.tsx"
"Search","runtime","docs","apps/docs/src/pages/marker/index.tsx"
"SearchIcon","runtime","components","packages/ui/src/components/command.tsx"
"SearchIcon","runtime","components","packages/ui/src/components/dropdown-menu.tsx"
"SearchIcon","runtime","components","packages/ui/src/components/search.tsx"
"SearchX","runtime","components","packages/ui/src/components/data-table/data-table.tsx"
"SendHorizontal","runtime","components","packages/ui/src/components/reply-box/reply-box-content.tsx"
"SendHorizontal","runtime","components","packages/ui/src/components/reply-box/reply-box-footer.tsx"
"Settings","runtime","docs","apps/docs/src/pages/button/index.tsx"
"Settings","runtime","docs","apps/docs/src/pages/command/index.tsx"
"Settings","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"Settings","runtime","docs","apps/docs/src/pages/structure/app-sidebar/demo.tsx"
"SettingsIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"Share","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"Share","runtime","components","packages/ui/src/components/message.tsx"
"ShareIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"ShareIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"Signature","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Smartphone","runtime","components","packages/ui/src/components/activity-feed.tsx"
"Smile","runtime","docs","apps/docs/src/pages/command/index.tsx"
"Smile","runtime","docs","apps/docs/src/pages/emoji-picker/index.tsx"
"Smile","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"SmilePlus","runtime","docs","apps/docs/src/pages/emoji-picker/index.tsx"
"SmilePlus","runtime","docs","apps/docs/src/pages/message/index.tsx"
"SmilePlus","runtime","components","packages/ui/src/components/emoji-picker.tsx"
"SmilePlusIcon","runtime","docs","apps/docs/src/pages/bubble/index.tsx"
"Sparkles","runtime","docs","apps/docs/src/pages/alert/index.tsx"
"Square","runtime","components","packages/ui/src/components/reply-box/reply-box-content.tsx"
"Square","runtime","components","packages/ui/src/components/reply-box/reply-box-footer.tsx"
"SquareUser","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Star","runtime","docs","apps/docs/src/pages/core/icons/index.tsx"
"Star","runtime","components","packages/ui/src/components/app-sidebar.tsx"
"Star","runtime","components","packages/ui/src/components/header.tsx"
"StickyNote","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Sun","runtime","docs","apps/docs/src/components/layout/app-shell.tsx"
"ThumbsDown","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"ThumbsDown","runtime","components","packages/ui/src/components/message.tsx"
"ThumbsUp","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"ThumbsUp","runtime","components","packages/ui/src/components/message.tsx"
"Trash2","runtime","docs","apps/docs/src/pages/core/icons/index.tsx"
"Trash2","runtime","components","packages/ui/src/components/attachment.tsx"
"Trash2","runtime","components","packages/ui/src/components/chat-head.tsx"
"Trash2","runtime","components","packages/ui/src/components/drop-zone.tsx"
"TrashIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"TrashIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"TrendingDown","runtime","components","packages/ui/src/components/metric-card.tsx"
"TrendingUp","runtime","components","packages/ui/src/components/metric-card.tsx"
"TriangleAlert","runtime","components","packages/ui/src/components/toast.tsx"
"Underline","runtime","docs","apps/docs/src/pages/toggle-group/index.tsx"
"User","runtime","docs","apps/docs/src/pages/command/index.tsx"
"UserIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"UserIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"WandSparkles","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Wrench","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"X","runtime","docs","apps/docs/src/components/layout/docs-do-dont.tsx"
"X","runtime","components","packages/ui/src/components/alert.tsx"
"X","runtime","components","packages/ui/src/components/badge.tsx"
"X","runtime","components","packages/ui/src/components/filters.tsx"
"X","runtime","components","packages/ui/src/components/inline-edit.tsx"
"XCircle","runtime","components","packages/ui/src/components/alert.tsx"
"XIcon","runtime","components","packages/ui/src/components/combobox.tsx"
"XIcon","runtime","components","packages/ui/src/components/dialog.tsx"
"XIcon","runtime","components","packages/ui/src/components/dropdown-menu.tsx"
"XIcon","runtime","components","packages/ui/src/components/search.tsx"
"XIcon","runtime","components","packages/ui/src/components/sheet.tsx"
"XIcon","runtime","components","packages/ui/src/components/toast.tsx"
